DSC,adjacentSourcePeerName,adjacentSourceRealmName,appId,condition,consequence,description,destHost,destRealm,dscRuleGroup,id,priority,ruleType,srcHost,srcRealm
HKG,*,*,16777251,1,RET := 0,White List for CU to CSL,*,epc.mnc000.mcc454.3gppnetwork.org,AP PoP,182,10,REQUEST_FILTER,*,epc.mnc001.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CSL to CU,*,epc.mnc001.mcc460.3gppnetwork.org,AP PoP,183,10,REQUEST_FILTER,*,epc.mnc000.mcc454.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to Orange France,*,epc.mnc001.mcc208.3gppnetwork.org,AP PoP,184,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Orange France to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,185,10,REQUEST_FILTER,*,epc.mnc001.mcc208.3gppnetwork.org
HKG,*,*,16777251,IsExist(#AVP297) && AVP297.AVP298 == 5004,AVP297.AVP298 := 5420,Reject Code re-mapping for CSL (5004 to 5420),*,*,AP PoP,187,0,PRE_BACKWARD_TRANSLATE,*,epc.mnc000.mcc454.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CSL to Vodafone Qatar,*,epc.mnc002.mcc427.3gppnetwork.org,AP PoP,188,10,REQUEST_FILTER,*,epc.mnc000.mcc454.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Vodafone Qatar to CSL,*,epc.mnc000.mcc454.3gppnetwork.org,AP PoP,189,10,REQUEST_FILTER,*,epc.mnc002.mcc427.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to Vodafone Qatar,*,epc.mnc002.mcc427.3gppnetwork.org,AP PoP,210,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Vodafone Qatar to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,211,10,REQUEST_FILTER,*,epc.mnc002.mcc427.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CSL to Verizon,*,epc.mnc480.mcc311.3gppnetwork.org,AP PoP,212,10,REQUEST_FILTER,*,epc.mnc000.mcc454.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Verizon to CSL,*,epc.mnc000.mcc454.3gppnetwork.org,AP PoP,213,10,REQUEST_FILTER,*,epc.mnc480.mcc311.3gppnetwork.org
