key,value
epc.mnc990.mcc310.3gppnetwork.org,7448#Worldcall
epc.mnc003.mcc284.3gppnetwork.org,7298#BTC-Bulgaria
epc.mnc001.mcc460.3gppnetwork.org,6684#China-Unicom
epc.mnc630.mcc312.3gppnetwork.org,7502#NetGenuity
epc.mnc012.mcc901.3gppnetwork.org,7497#MCP
epc.mnc580.mcc310.3gppnetwork.org,7381#Inland-Cellular
epc.mnc040.mcc311.3gppnetwork.org,6955#Commnet-Wireless
epc.mnc021.mcc710.3gppnetwork.org,7353#Enitel
epc.mnc410.mcc312.3gppnetwork.org,7460#Eltopia-Communications
epc.mnc872.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc006.mcc260.3gppnetwork.org,6950#Play-Mobile
epc.mnc005.mcc744.3gppnetwork.org,12492#Nucleo
epc.mnc070.mcc405.3gppnetwork.org,7264#IDEA
dca.mnc001.mcc206.3gppnetwork.org,6604#Proximus
epc.mnc092.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc120.mcc310.3gppnetwork.org,6966#Sprint-PCS
tdea.epc.mnc050.mcc440.3gppnetwork.org,6118#KDDI
epc.mnc006.mcc414.3gppnetwork.org,7391#Telenor-Myanmar
epc.mnc865.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc003.mcc272.3gppnetwork.org,7046#Meteor-Mobile
epc.mnc060.mcc250.3gppnetwork.org,7427#LLC-KTKTELEKOM
epc.mnc000.mcc455.3gppnetwork.org,7104#SmarTone-Macau
epc.mnc004.mcc712.3gppnetwork.org,6794#TM-Costa-Rica
epc.mnc078.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc002.mcc221.3gppnetwork.org,12568#IPKO-Telecommunications-LLC
epc.mnc001.mcc617.3gppnetwork.org,6952#CELLPLUS-MAURITIUS
epc.mnc077.mcc402.3gppnetwork.org,7469#TashiCell
epc.mnc280.mcc310.3gppnetwork.org,6907#AT&T-310280
epc.mnc023.mcc425.3gppnetwork.org,12535#Beezz-Communication
sybase.ipx,7492#Sybase-Peering-Hub
epc.mnc002.mcc242.3gppnetwork.org,6836#Netcom
epc.mnc007.mcc262.3gppnetwork.org,6533#Telefonica-O2-Germany
epc.mnc003.mcc525.3gppnetwork.org,6360#M1-Limited
epc.mnc002.mcc248.3gppnetwork.org,6930#ELISA-EESTI-AS
ibasis.grx,6677#iBasis-DSS-Peer
epc.mnc002.mcc270.3gppnetwork.org,7288#MTX-Connect
epc.mnc001.mcc222.3gppnetwork.org,6580#Telecom-Italia-Mobile
epc.mnc001.mcc228.3gppnetwork.org,6490#Swisscom
epc.mnc002.mcc276.3gppnetwork.org,6958#Vodafone-Albania
epc.mnc019.mcc404.3gppnetwork.org,7264#IDEA
telenor.grx,6635#Telenor-DSS-Peer
epc.mnc002.mcc602.3gppnetwork.org,7293#Vodafone-Egypt
epc.mnc008.mcc204.3gppnetwork.org,6697#KPN-Mobile-Netherlands
epc.mnc007.mcc425.3gppnetwork.org,7132#HOT-Mobile
epc.mnc001.mcc288.3gppnetwork.org,7477#Faroese-Telecom
dea.orange-multimedia.net,6570#FranceTelecom-DSS-Peer
epc.mnc002.mcc605.3gppnetwork.org,7314#Tunisie-Telecom
epc.mnc044.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc710.mcc311.3gppnetwork.org,7260#Northeast-Wireless
pccwglobal.ipxnetwork.org,7446#PCCW-Global-DSS-Peer
epc.mnc001.mcc282.3gppnetwork.org,7412#Geocell
epc.mnc001.mcc297.3gppnetwork.org,6968#Telenor-Montenegro
epc.mnc001.mcc651.3gppnetwork.org,7320#Vodacom-Lesotho
epc.mnc050.mcc234.3gppnetwork.org,6937#Jersey-Telecom
epc.mnc840.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc001.mcc294.3gppnetwork.org,12497#T-Mobile-Macedon
epc.mnc030.mcc310.3gppnetwork.org,6906#AT&T-310030
epc.mnc030.mcc334.3gppnetwork.org,6623#TM-Mexico
epc.mnc056.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc012.mcc240.3gppnetwork.org,7368#Lycamobile-Sweden
epc.mnc810.mcc311.3gppnetwork.org,7055#Bluegrass-Cellular-LLC
epc.mnc067.mcc702.3gppnetwork.org,7403#Belize-Telecom
epc.mnc007.mcc434.3gppnetwork.org,12487#MTS-Uzbekistan
epc.mnc027.mcc240.3gppnetwork.org,7068#Globetouch-Sweden
