name,id,item,value
T-Mobile USA Inc,6648,DRACustomerRealmName,epc.mnc240.mcc310.3gppnetwork.org
T-Mobile USA Inc,6648,DRAIMSIPrefix,310260
T-Mobile USA Inc,6648,DRAIMSIPrefix,310240
Vodafone Romania,6713,DRACustomerRealmName,epc.mnc001.mcc226.3gppnetwork.org
Vodafone Romania,6713,DRAIMSIPrefix,22601
Vodafone Portugal,6737,DRACustomerRealmName,epc.mnc001.mcc268.3gppnetwork.org
Vodafone Portugal,6737,DRAIMSIPrefix,26801
Mobistar,6695,DRACustomerRealmName,epc.mnc010.mcc206.3gppnetwork.org
Mobistar,6695,DRAIMSIPrefix,20610
Bouygues Telecom,6523,DRACustomerRealmName,epc.mnc020.mcc208.3gppnetwork.org
Bouygues Telecom,6523,DRAIMSIPrefix,20820
T-Mobile Czech,6898,DRACustomerRealmName,epc.mnc001.mcc230.3gppnetwork.org
T-Mobile Czech,6898,DRAIMSIPrefix,23001
BITE Lithuania,7091,DRACustomerRealmName,epc.mnc002.mcc246.3gppnetwork.org
BITE Lithuania,7091,DRAIMSIPrefix,24602
Kyivstar,12661,DRACustomerRealmName,epc.mnc003.mcc255.3gppnetwork.org
Kyivstar,12661,DRAIMSIPrefix,25503
Orange Slovensko,6938,DRACustomerRealmName,epc.mnc001.mcc231.3gppnetwork.org
Orange Slovensko,6938,DRAIMSIPrefix,23101
AS EMT,6837,DRACustomerRealmName,epc.mnc001.mcc248.3gppnetwork.org
AS EMT,6837,DRAIMSIPrefix,24801
Telecom Italia Mobile,6580,DRACustomerRealmName,epc.mnc001.mcc222.3gppnetwork.org
Telecom Italia Mobile,6580,DRAIMSIPrefix,22201
Vimpelcom Russia,6870,DRACustomerRealmName,epc.mnc099.mcc250.3gppnetwork.org
Vimpelcom Russia,6870,DRAIMSIPrefix,25099
AT&T Mobility,6393,DRACustomerRealmName,epc.mnc410.mcc310.3gppnetwork.org
AT&T Mobility,6393,DRAIMSIPrefix,310410
Rogers Wireless,6497,DRACustomerRealmName,epc.mnc720.mcc302.3gppnetwork.org
Rogers Wireless,6497,DRACustomerRealmName,epc.mnc370.mcc302.3gppnetwork.org
Rogers Wireless,6497,DRAIMSIPrefix,302720
Rogers Wireless,6497,DRAIMSIPrefix,302370
Hutchison 3G UK,7301,DRACustomerRealmName,epc.mnc020.mcc234.3gppnetwork.org
Hutchison 3G UK,7301,DRAIMSIPrefix,23420
Latvian Mobile Telephone,6839,DRACustomerRealmName,epc.mnc001.mcc247.3gppnetwork.org
Latvian Mobile Telephone,6839,DRAIMSIPrefix,24701
Vodafone UK,6736,DRACustomerRealmName,epc.mnc015.mcc234.3gppnetwork.org
Vodafone UK,6736,DRAIMSIPrefix,23415
Hutchison 3G Austria GmbH,6951,DRACustomerRealmName,epc.mnc005.mcc232.3gppnetwork.org
Hutchison 3G Austria GmbH,6951,DRAIMSIPrefix,23205
Hutchison 3G Austria GmbH,6951,DRAIMSIPrefix,23210
Proximus,6604,DRACustomerRealmName,epc.mnc001.mcc206.3gppnetwork.org
Proximus,6604,DRACustomerRealmNameBeforeTranslation,dca.mnc001.mcc206.3gppnetwork.org
Proximus,6604,DRACustomerRealmNameBeforeTranslation,dma.mnc001.mcc206.3gppnetwork.org
Proximus,6604,DRACustomerRealmNameBeforeTranslation,gam.mnc001.mcc206.3gppnetwork.org
Proximus,6604,DRAIMSIPrefix,20601
Orange Switzerland,6922,DRACustomerRealmName,epc.mnc003.mcc228.3gppnetwork.org
Orange Switzerland,6922,DRAIMSIPrefix,22803
Telefonica O2 UK,6532,DRACustomerRealmName,epc.mnc010.mcc234.3gppnetwork.org
Telefonica O2 UK,6532,DRAIMSIPrefix,23410
Telefonica O2 Germany,6533,DRACustomerRealmName,epc.mnc007.mcc262.3gppnetwork.org
Telefonica O2 Germany,6533,DRACustomerRealmName,epc.mnc003.mcc262.3gppnetwork.org
Telefonica O2 Germany,6533,DRAIMSIPrefix,26207
Telefonica O2 Germany,6533,DRAIMSIPrefix,26203
TeliaSonera Finland,6835,DRACustomerRealmName,epc.mnc091.mcc244.3gppnetwork.org
TeliaSonera Finland,6835,DRAIMSIPrefix,24491
Swisscom,6490,DRACustomerRealmName,epc.mnc001.mcc228.3gppnetwork.org
Swisscom,6490,DRAIMSIPrefix,22801
Telenor Norway,6567,DRACustomerRealmName,epc.mnc001.mcc242.3gppnetwork.org
Telenor Norway,6567,DRAIMSIPrefix,24201
Everything Everywhere UK,6582,DRACustomerRealmName,epc.mnc030.mcc234.3gppnetwork.org
Everything Everywhere UK,6582,DRACustomerRealmName,epc.mnc033.mcc234.3gppnetwork.org
Everything Everywhere UK,6582,DRAIMSIPrefix,23430
Everything Everywhere UK,6582,DRAIMSIPrefix,23433
T-Mobile Germany,6783,DRACustomerRealmName,epc.mnc001.mcc262.3gppnetwork.org
T-Mobile Germany,6783,DRACustomerRealmName,epc.mnc040.mcc901.3gppnetwork.org
T-Mobile Germany,6783,DRAIMSIPrefix,26201
T-Mobile Germany,6783,DRAIMSIPrefix,90140
Wind Italy,7028,DRACustomerRealmName,epc.mnc088.mcc222.3gppnetwork.org
Wind Italy,7028,DRAIMSIPrefix,22288
Vodafone Mobile NZ Limited,6719,DRACustomerRealmName,epc.mnc001.mcc530.3gppnetwork.org
Vodafone Mobile NZ Limited,6719,DRAIMSIPrefix,53001
Vodafone Italy,6738,DRACustomerRealmName,epc.mnc010.mcc222.3gppnetwork.org
Vodafone Italy,6738,DRAIMSIPrefix,22210
Telenor Denmark,6920,DRACustomerRealmName,epc.mnc002.mcc238.3gppnetwork.org
Telenor Denmark,6920,DRAIMSIPrefix,23802
