display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
OoredooKW-USNH01-MME,aaa://mmec28.mmegi8002.mme.epc.mnc003.mcc419.3gppnetwork.org:3868;transport=sctp,epc.mnc003.mcc419.3gppnetwork.org,"78.89.189.188,78.89.189.189",,false,2,false,false,1500,,,,,,,,,,
STC-DAJG-DEA,aaa://dajg01.dea.epc.mnc001.mcc420.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc420.3gppnetwork.org,"212.215.134.46,212.215.134.62",,true,1,false,false,1500,17107,,,,,,,,8,8
STC-DARG-DEA,aaa://darg01.dea.epc.mnc001.mcc420.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc420.3gppnetwork.org,"212.215.134.14,212.215.134.30",,true,1,false,false,1500,17106,,,,,,,,8,8
Zain-Jeddah-DEA,aaa://jd1spsh01.dra.mnc004.mcc420.3gppnetwork.org;transport=sctp,dra.mnc004.mcc420.3gppnetwork.org,"185.5.155.69,185.5.155.70",,false,1,false,false,1500,,,,,,,,,,
Zain-Riyadh-DEA,aaa://ry1spsh01.dra.mnc004.mcc420.3gppnetwork.org;transport=sctp,dra.mnc004.mcc420.3gppnetwork.org,"185.5.155.65,185.5.155.66",,false,1,false,false,1500,,,,,,,,,,
Rightel-IRN-DEA,aaa://th1pa.epc.mnc020.mcc432.3gppnetwork.org;transport=sctp,epc.mnc020.mcc432.3gppnetwork.org,"91.229.214.186,91.229.214.190",,false,1,false,true,1500,,,,,,,,,,
NTT-Lab-DEA,aaa://yrp.dea.epc.mnc010.mcc440.3gppnetwork.org;transport=sctp,epc.mnc010.mcc440.3gppnetwork.org,"49.103.16.54,49.103.16.118",,false,1,false,true,1500,,,,,,,,,,
NTT-Osaka-dsr1-ooskn-DEA,aaa://dsr1.ooskn.ipx.node.epc.mnc010.mcc440.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc440.3gppnetwork.org,"49.103.16.22,49.103.16.86",,false,1,false,false,1500,,,,,,,,,,
NTT-Tokyo-dsr0-yyg-DEA,aaa://dsr0.yyg.ipx.node.epc.mnc010.mcc440.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc440.3gppnetwork.org,"49.103.16.6,49.103.16.70",,false,1,false,false,1500,,,,,,,,,,
SoftBank-Kansai-DEA01,aaa://kybldra01.epc.mnc020.mcc440.3gppnetwork.org:3868;transport=sctp,epc.mnc020.mcc440.3gppnetwork.org,"113.213.135.18,113.213.135.26",,false,1,false,false,1200,,,,,,,,,,
