display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
Vimplecom-dra11-DEA,aaa://dra11.msk.epc.mnc099.mcc250.3gppnetwork.org;transport=sctp,epc.mnc099.mcc250.3gppnetwork.org,"78.107.125.227,78.107.125.235",,false,1,false,false,1500,,,,,,,,,,
Vimplecom-dra21-DEA,aaa://dra21.msk.epc.mnc099.mcc250.3gppnetwork.org;transport=sctp,epc.mnc099.mcc250.3gppnetwork.org,"85.115.240.115,85.115.240.123",,false,1,false,false,1500,,,,,,,,,,
O2DE-hdeafra1-DEA,aaa://hdeafra1.epc.mnc007.mcc262.3gppnetwork.org;transport=sctp,epc.mnc007.mcc262.3gppnetwork.org,"82.113.120.164,82.113.120.180",,false,1,false,true,1500,,,,,,,,,,
O2DE-hdeamun1-DEA,aaa://hdeamun1.epc.mnc007.mcc262.3gppnetwork.org;transport=sctp,epc.mnc007.mcc262.3gppnetwork.org,"82.113.120.132,82.113.120.148",,false,1,false,true,1500,,,,,,,,,,
Gibtelecom-sgsnhv01-MME,aaa://sgsnhv01.epc.mnc001.mcc266.3gppnetwork.org;transport=sctp,epc.mnc001.mcc266.3gppnetwork.org,"195.244.199.68,195.244.199.69",,false,1,false,false,1500,,,,,,,,,,
Gibtelecom-sgsnmp01-MME,aaa://sgsnmp01.epc.mnc001.mcc266.3gppnetwork.org;transport=sctp,epc.mnc001.mcc266.3gppnetwork.org,"195.244.199.52,195.244.199.53",,false,1,false,false,1500,,,,,,,,,,
Gibtelecom-SLFMP01-HSS,aaa://slfmp01.epc.mnc001.mcc266.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc266.3gppnetwork.org,"195.244.199.57,195.244.199.58",,true,2,false,true,1500,17101,17102,,,,,,,1,1
MEO-drabnf102-DEA,aaa://drabnf102.epc.mnc006.mcc268.3gppnetwork.org:3868;transport=sctp,epc.mnc006.mcc268.3gppnetwork.org,"88.214.191.22,88.214.191.30",,false,1,false,true,1200,,,,,,,,,,
MEO-drapic102-DEA,aaa://drapic102.epc.mnc006.mcc268.3gppnetwork.org:3868;transport=sctp,epc.mnc006.mcc268.3gppnetwork.org,"88.214.191.6,88.214.191.14",,false,1,false,true,1200,,,,,,,,,,
Three-DT0MME81-MME,aaa://mmec01.mmegi2001.mme.epc.mnc005.mcc272.3gppnetwork.org;transport=sctp,epc.mnc005.mcc272.3gppnetwork.org,"83.136.44.42,83.136.44.46",,false,1,false,true,1500,,,,,,,,,,
Three_Ireland-DN1MME01-MME,aaa://mmec00.mmegi8000.mme.epc.mnc005.mcc272.3gppnetwork.org;transport=sctp,epc.mnc005.mcc272.3gppnetwork.org,"92.251.255.98,92.251.255.102",,false,1,false,true,1500,,,,,,,,,,
Three_Ireland-DN1MME02-MME,aaa://mmec01.mmegi8000.mme.epc.mnc005.mcc272.3gppnetwork.org;transport=sctp,epc.mnc005.mcc272.3gppnetwork.org,"92.251.255.106,92.251.255.110",,false,1,false,true,1500,,,,,,,,,,
AlbTelecom_MME,aaa://mme-asr5000.epc.mnc003.mcc276.3gppnetwork.org:3868;transport=sctp,epc.mnc003.mcc276.3gppnetwork.org,"217.24.242.178,217.24.242.186",,false,1,false,false,1500,,,,,,,,,,
MME-EastLink-New,aaa://mmec02.mmegi8000.mme.epc.mnc270.mcc302.3gppnetwork.org;transport=sctp,epc.mnc270.mcc302.3gppnetwork.org,"71.7.198.118,71.7.198.119",,false,1,false,true,1500,,,,,,,,,,
Alfa-MIC-1-admadsc01-DEA1,aaa://admadsc01.epc.mnc001.mcc415.3gppnetwork.org;transport=sctp,epc.mnc001.mcc415.3gppnetwork.org,"185.81.141.181,185.81.141.182",,false,1,false,true,1500,,,,,,,,,,
Alfa-MIC-1-libdsc01-DEA,aaa://libdsc01.epc.mnc001.mcc415.3gppnetwork.org;transport=sctp,epc.mnc001.mcc415.3gppnetwork.org,"91.232.101.181,91.232.101.182",,false,1,false,true,1500,,,,,,,,,,
Mobily-m1ds1-DRA,aaa://m1ds1-dra.epc.mnc003.mcc420.3gppnetwork.org:3868;transport=sctp,epc.mnc003.mcc420.3gppnetwork.org,"84.23.101.226,84.23.101.230",,false,1,false,false,1500,,,,,,,,,,
Mobily-m3ds1-DRA,aaa://m3ds1-dra.epc.mnc003.mcc420.3gppnetwork.org:3868;transport=sctp,epc.mnc003.mcc420.3gppnetwork.org,"86.51.46.173,86.51.46.177",,false,1,false,false,1500,,,,,,,,,,
OoredooOman-bohss1-hss,aaa://bohss1.epc.mnc003.mcc422.3gppnetwork.org;transport=sctp,epc.mnc003.mcc422.3gppnetwork.org,"5.162.220.172,5.162.221.173",,false,1,false,false,1500,,,,,,,,,,
OoredooOman-bomme1-mme,aaa://bomme1.epc.mnc003.mcc422.3gppnetwork.org;transport=sctp,epc.mnc003.mcc422.3gppnetwork.org,"5.162.221.92,5.162.221.93",,false,1,false,false,1500,,,,,,,,,,
OoredooOman-sohss1-hss,aaa://sohss1.epc.mnc003.mcc422.3gppnetwork.org;transport=sctp,epc.mnc003.mcc422.3gppnetwork.org,"5.162.216.100,5.162.221.101",,false,1,false,false,1500,,,,,,,,,,
OoredooOman-somme1-mme,aaa://somme1.epc.mnc003.mcc422.3gppnetwork.org;transport=sctp,epc.mnc003.mcc422.3gppnetwork.org,"5.162.221.94,5.162.221.95",,false,1,false,false,1500,,,,,,,,,,
Partner-Israel-RH-DSC,aaa://dsc01rh.epc.mnc001.mcc425.3gppnetwork.org;transport=sctp,epc.mnc001.mcc425.3gppnetwork.org,"82.102.191.40,82.102.191.41",,false,1,false,true,1500,,,,,,,,,,
Partner-Israel-RV-DSC,aaa://dsc01rv.epc.mnc001.mcc425.3gppnetwork.org;transport=sctp,epc.mnc001.mcc425.3gppnetwork.org,"82.102.191.43,82.102.191.44",,false,1,false,true,1500,,,,,,,,,,
Pelephone-KA-DEA,aaa://deaka.epc.mnc003.mcc425.3gppnetwork.org;transport=sctp,epc.mnc003.mcc425.3gppnetwork.org,"185.80.109.65,185.80.109.73",,false,1,false,false,1500,,,,,,,,,,
Pelephone-RM-DEA,aaa://dearm.epc.mnc003.mcc425.3gppnetwork.org;transport=sctp,epc.mnc003.mcc425.3gppnetwork.org,"185.80.109.1,185.80.109.9",,false,1,false,false,1500,,,,,,,,,,
Batelco-MHZ-DSC,aaa://dscmhz.epc.mnc001.mcc426.3gppnetwork.org;transport=sctp,epc.mnc001.mcc426.3gppnetwork.org,"88.201.64.37,88.201.64.38",,false,1,false,false,1500,,,,,,,,,17,17
Batelco-TPH-DSC,aaa://dsctph.epc.mnc001.mcc426.3gppnetwork.org;transport=sctp,epc.mnc001.mcc426.3gppnetwork.org,"88.201.64.33,88.201.64.34",,false,1,false,false,1500,,,,,,,,,17,17
OoredooQT-apc101-vHSS,aaa://apcvhss101.epc.mnc001.mcc427.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,"82.148.127.4,82.148.127.20",,true,1,false,true,1500,17138,,,,,,,,32,32
OoredooQT-Lab-HSS,aaa://hsstb101.epc.mnc001.mcc427.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,82.148.105.116,,true,1,true,true,1500,17126,,,,,,,,,
OoredooQT-mmec02-MME,aaa://mmec02.mmegi8000.mme.epc.mnc001.mcc427.3gppnetwork.org;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,82.148.114.34,,false,1,false,false,1500,,,,,,,,,,
OoredooQT-mmec03-MME,aaa://mmec03.mmegi8000.mme.epc.mnc001.mcc427.3gppnetwork.org;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,82.148.114.178,,false,1,false,false,1500,,,,,,,,,,
OoredooQT-mmec04-MME,aaa://mmec04.mmegi8000.mme.epc.mnc001.mcc427.3gppnetwork.org;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,82.148.123.82,,false,1,false,true,1500,,,,,,,,,,
OoredooQT-njc201-vHSS,aaa://njcvhss201.epc.mnc001.mcc427.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,"82.148.127.68,82.148.127.84",,true,1,false,true,1500,17139,,,,,,,,32,32
OoredooQT-NTR-1,aaa://lte01.ntr.epc.mnc001.mcc427.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,82.148.114.103,,true,1,false,true,1500,17136,,,,,,,,10,65535
OoredooQT-NTR-2,aaa://lte02.ntr.epc.mnc001.mcc427.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc427.3gppnetwork.org,82.148.114.104,,true,1,false,true,1500,17137,,,,,,,,10,65535
babilon-tjkbm-dea,aaa://tjkbm-d01-dea.epc.mnc004.mcc436.3gppnetwork.org;transport=sctp,epc.mnc004.mcc436.3gppnetwork.org,"193.111.11.177,193.111.11.187",,false,1,false,true,1500,,,,,,,,,,
CWSSeychelles-sps1-dea,aaa://sps1.epc.mnc001.mcc633.3gppnetwork.org:3868;transport=sctp,epc.mnc001.mcc633.3gppnetwork.org,"41.86.49.81,41.86.49.83",,false,2,false,false,1500,,,,,,,,,,
MTN_SA_nldea1,aaa://nldea1.epc.mnc010.mcc655.3gppnetwork.org;transport=sctp,epc.mnc010.mcc655.3gppnetwork.org,"41.208.54.130,41.208.54.131",,false,1,false,true,1500,,,,,,,,,,
